location_key,location_label,category,item
london,"London, UK",Time off,25 days paid holiday + bank holidays
london,"London, UK",Time off,20 days fully remote working per year
london,"London, UK",Hybrid Working,4 days in office (Mon- Thu); Friday is an optional day
london,"London, UK",Food & office,Free lunch daily — £12/day via JustEat when in office
london,"London, UK",Health & wellbeing,"Private Medical Cover with Bupa (opt-in, P11d)"
london,"London, UK",Health & wellbeing,Health Cash Plan with Medicash (opt-in)
london,"London, UK",Health & wellbeing,"Dental Cover (opt-in, P11d)"
london,"London, UK",Health & wellbeing,Employee Assistance Program
london,"London, UK",Health & wellbeing,Family Forming / Fertility Support
london,"London, UK",Financial,Life Assurance & Group Income Cover
london,"London, UK",Financial,Pension — 4% contributory match or qualifying earnings scheme
london,"London, UK",Financial,Cycle to Work salary sacrifice scheme
london,"London, UK",Growth,Continuous Professional Development
london,"London, UK",Growth,Regular company events & rewards (quarterly)
barcelona,"Barcelona, Spain",Time off,25 days paid holiday + bank holidays
barcelona,"Barcelona, Spain",Time off,20 days fully remote working per year
barcelona,"Barcelona, Spain",Hybrid Working,4 days in office (Mon- Thu); Friday is an optional day
barcelona,"Barcelona, Spain", Food & office,Free lunch and breakfast daily when in office
barcelona,"Barcelona, Spain",Health & wellbeing,Private Medical Cover
barcelona,"Barcelona, Spain",Health & wellbeing,Life & Critical Illness Cover
barcelona,"Barcelona, Spain",Health & wellbeing,Employee Assistance Program
barcelona,"Barcelona, Spain",Health & wellbeing,Family Forming / Fertility Support
barcelona,"Barcelona, Spain",Health & wellbeing,Sport Compensation
barcelona,"Barcelona, Spain",Perks,Meal and Transport Vouchers
barcelona,"Barcelona, Spain",Perks,English & Spanish Classes
barcelona,"Barcelona, Spain",Growth,Continuous Professional Development
barcelona,"Barcelona, Spain",Growth,Regular company events & rewards
warsaw,"Warsaw, Poland",Time off,26 days paid holiday + bank holidays
warsaw,"Warsaw, Poland",Time off,20 days fully remote working per year
warsaw,"Warsaw, Poland",Hybrid Working,4 days in office (Mon- Thu); Friday is an optional day
warsaw,"Warsaw, Poland",Food & office,Free daily lunch in office via Pyszne.pl
warsaw,"Warsaw, Poland",Health & wellbeing,Private Medical Cover with Luxmed (you & family)
warsaw,"Warsaw, Poland",Health & wellbeing,Multisport Plus Card
warsaw,"Warsaw, Poland",Health & wellbeing,Employee Assistance Program
warsaw,"Warsaw, Poland",Health & wellbeing,Family Forming / Fertility Support
warsaw,"Warsaw, Poland",Perks,English & Polish Classes
warsaw,"Warsaw, Poland",Growth,Continuous Professional Development
warsaw,"Warsaw, Poland",Growth,Regular company events & rewards
jakarta,"Jakarta, Indonesia",Time off,24 days paid holiday + bank holidays (12 days year one)
jakarta,"Jakarta, Indonesia",Time off,20 days fully remote working per year
jakarta,"Jakarta, Indonesia",Hybrid Working,4 days in office (Mon- Thu); Friday is an optional day
jakarta,"Jakarta, Indonesia",Food & office,Daily breakfast and lunch provided in office
jakarta,"Jakarta, Indonesia",Health & wellbeing,Private Health Insurance (you & family)
jakarta,"Jakarta, Indonesia",Health & wellbeing,BPJS Health
jakarta,"Jakarta, Indonesia",Health & wellbeing,BPJS Social
jakarta,"Jakarta, Indonesia",Health & wellbeing,Employee Assistance Program
jakarta,"Jakarta, Indonesia",Health & wellbeing,Family Forming / Fertility Support
jakarta,"Jakarta, Indonesia",Perks,Festivity Allowance
jakarta,"Jakarta, Indonesia",Perks,English Classes
minsk,"Minsk, Belarus",Time off,20 business days paid holiday + bank holidays
minsk,"Minsk, Belarus",Time off,20 business days fully remote working per year
minsk,"Minsk, Belarus",Hybrid Working,4 days in office (Mon- Thu); Friday is an optional day)
minsk,"Minsk, Belarus",Food & office,Free daily lunch in office
minsk,"Minsk, Belarus",Food & office,Taxi reimbursement for travel to office
minsk,"Minsk, Belarus",Health & wellbeing,Private Medical Cover
minsk,"Minsk, Belarus",Health & wellbeing,Sport Compensation
minsk,"Minsk, Belarus",Perks,English Classes
minsk,"Minsk, Belarus",Growth,Continuous Professional Development
melbourne,"Melbourne, Australia",Time off,25 days paid holiday + bank holidays (20 days + 5 days bonus)
melbourne,"Melbourne, Australia",Hybrid Working,4 days in office (Mon- Thu); Friday is an optional day
melbourne,"Melbourne, Australia",Time off,20 days fully remote working per year
melbourne,"Melbourne, Australia",Health & wellbeing,Private Medical Cover — monthly stipend
melbourne,"Melbourne, Australia",Health & wellbeing,Employee Assistance Program
melbourne,"Melbourne, Australia",Health & wellbeing,Family Forming / Fertility Support
melbourne,"Melbourne, Australia",Financial,Company-paid Superannuation plan
melbourne,"Melbourne, Australia",Growth,Continuous Professional Development
berlin,"Berlin, Germany",Time off,25 days paid holiday + bank holidays (20 days + 5 days bonus)
berlin,"Berlin, Germany",Food & office,Free daily lunch via Wolt when in office
berlin,"Berlin, Germany",Health & wellbeing,"Supplemental Health Insurance — €1,200/year via Continentale (glasses, dental, massage etc.)"
berlin,"Berlin, Germany",Health & wellbeing,Employee Assistance Program
berlin,"Berlin, Germany",Financial,100% public transport reimbursement (BVG ticket)
berlin,"Berlin, Germany",Financial,Opt-in employer pension plan via Degura
berlin,"Berlin, Germany",Growth,Continuous Professional Development
canada,Canada,Time off,25 days paid holiday + bank holidays + 2 paid volunteer days
canada,Canada,Hybrid working,4 days in office (Mon- Thu); Friday is an optional day
canada,Canada,Time off,20 days fully remote working per year
canada,Canada,Financial,Employer Matching RRSP Contribution
canada,Canada,Food & office,Free lunch and breakfast daily via UberEats when in office
canada,Canada,Health & wellbeing,"Comprehensive Medical, Dental & Vision coverage"
